date,SP500,NYSE,NASDAQ,b30ret,b20ret,b10ret,b7ret,b5ret,b2ret,b1ret,t90ret,t30ret,cpiret
2000-02-01,-0.02031300243690115,-0.04791875450928629,0.17558841618162369,0.036776,0.030678,0.013598,0.009505,0.009169,0.006842,0.005797,0.004262,0.004295,0.005924
2000-03-01,0.09232375063667675,0.08884048578839554,-0.026725706468715416,0.047912,0.034984,0.034752,0.027027,0.017635,0.006593,0.005338,0.004793,0.004377,0.008245
2000-04-01,-0.031279910953390555,-0.005481791910419531,-0.16929415579751428,-0.013274,-0.007828,-0.010026,-0.006717,-0.004274,0.001496,0.003549,0.004941,0.004595,0.000584
2000-05-01,-0.0221587523957556,-0.0008695269802139194,-0.1267951135242349,-0.000867,-0.004246,0.001771,0.005836,0.004903,0.004925,0.004305,0.006164,0.004782,0.001168
2000-06-01,0.023651631558432307,-0.0010409262972039812,0.15374277552524163,0.020563,0.020999,0.022074,0.019042,0.018501,0.011403,0.007794,0.004348,0.003744,0.005248
2000-07-01,-0.01647626719348505,-0.003583821747037419,-0.051509521070203235,0.020272,0.018508,0.00464,0.008591,0.0072,0.006752,0.005483,0.004468,0.004772,0.00232
2000-08-01,0.05892822369153272,0.051564110591943546,0.11031904000867776,0.020774,0.022423,0.016603,0.015843,0.013304,0.007772,0.005976,0.005156,0.005002,0.0
2000-09-01,-0.05496632087674769,-0.017180483724953177,-0.13563553350330082,-0.024577,-0.013494,-0.001323,0.007017,0.010004,0.007983,0.005337,0.005281,0.005093,0.005208
2000-10-01,-0.004961774691885523,0.004484384431378885,-0.08615686671277167,0.018404,0.017418,0.008647,0.009339,0.008094,0.006054,0.004956,0.005153,0.005217,0.001727
2000-11-01,-0.08345618792359133,-0.055950275087624846,-0.2600879635047564,0.029119,0.030494,0.025641,0.024855,0.016327,0.010289,0.006788,0.005437,0.004966,0.000575
2000-12-01,0.0040452525456853294,0.042116659676201706,-0.05028628506563049,0.02645,0.026133,0.030723,0.023028,0.023355,0.012919,0.009996,0.005512,0.004909,-0.000574
