SP500,NYSE,NASDAQ
-0.020313002,-0.047918755,0.175588416
0.092323751,0.088840486,-0.026725706
-0.031279911,-0.005481792,-0.169294156
-0.022158752,-0.000869527,-0.126795114
0.023651632,-0.001040926,0.153742776
-0.016476267,-0.003583822,-0.051509521
0.058928224,0.051564111,0.11031904
-0.054966321,-0.017180484,-0.135635534
-0.004961775,0.004484384,-0.086156867
-0.083456188,-0.055950275,-0.260087964
0.004045253,0.04211666,-0.050286285
0.034050231,0.010253118,0.115403725
-0.096831145,-0.056889622,-0.253513708
-0.066358535,-0.051179806,-0.156411808
0.074007017,0.063686732,0.139734053
0.005077276,0.010717758,-0.002720781
-0.025354105,-0.031521076,0.023438065
-0.010798241,-0.007781564,-0.063737207
-0.066255629,-0.048317621,-0.115822182
-0.085256633,-0.077799057,-0.186134
0.017937272,0.004585686,0.120182016
0.07248428,0.058526725,0.132973617
0.007545297,0.018016218,0.010214039
-0.015696379,-0.019346095,-0.008428568
-0.020984861,0.000173285,-0.11062362
0.036080107,0.037035548,0.063686644
-0.063384655,-0.044704641,-0.088988317
-0.009122969,-0.005939013,-0.043893776
-0.07521435,-0.068350187,-0.099154229
-0.082299885,-0.081456397,-0.096762803
0.004869558,0.008471237,-0.01014725
-0.116561141,-0.106605842,-0.114959638
0.082914396,0.059822468,0.12622802
0.055500571,0.046218316,0.106226489
-0.062229266,-0.046282279,-0.101904195
-0.027797488,-0.026615023,-0.01099233
-0.017149829,-0.031847101,0.012496249
0.008322837,0.002993802,0.002725233
0.07792734,0.081440127,0.087841782
0.049645712,0.057517899,0.086059946
0.011258598,0.012760019,0.016708955
0.016093504,0.009728843,0.06686587
0.017715356,0.018035709,0.042556454
-0.012016272,-0.002853877,-0.013070779
0.053504261,0.054306009,0.078159778
0.007103216,0.018951693,0.014412717
0.049518985,0.062392308,0.021753638
0.017128847,0.013465535,0.030856165
0.012135045,0.021254233,-0.017739832
-0.016494204,-0.014040865,-0.017694111
-0.016933315,-0.024488762,-0.037849661
0.012011028,0.007010212,0.034091779
0.017829111,0.018073939,0.030266082
-0.034892235,-0.030732571,-0.081582162
0.002284738,0.007944172,-0.026446603
0.009320306,0.01781767,0.03145691
0.013916952,0.018466985,0.040374004
0.037868777,0.04570812,0.05985384
0.031942573,0.034282764,0.036813746
-0.025615768,-0.022348379,-0.053355757
0.018726898,0.03211697,-0.005196708
-0.019302761,-0.02121727,-0.025916355
-0.020313512,-0.022463085,-0.039577892
0.029512244,0.017820365,0.073504115
-0.000142724,0.011629042,-0.005459174
0.035336532,0.035238792,0.060308912
-0.011285548,0.002595341,-0.015098554
0.006924991,0.0180968,-0.000185951
-0.017900034,-0.026532624,-0.014695942
0.034581214,0.02814273,0.05170778
-0.000952803,0.01411398,-0.012392737
0.025147896,0.044469937,0.044563737
0.000453055,-0.005683134,-0.010651532
0.011034704,0.021185565,0.025276339
0.012082366,0.028524504,-0.007386838
-0.031404929,-0.033894083,-0.063863431
8.66E-05,-0.002450156,-0.003121051
0.005072989,0.008902557,-0.037822724
0.021051057,0.017611215,0.043176428
0.024269399,0.00962041,0.033626269
0.031021813,0.035415312,0.046830937
0.016332551,0.021869644,0.027118607
0.012536867,0.01877892,-0.006800016
0.013961131,0.012581715,0.01993823
-0.022088337,-0.014167331,-0.019582285
0.009930512,0.014933116,0.002269628
0.042379843,0.038746918,0.041831788
0.032030724,0.035799248,0.030971664
-0.017976944,-0.010641036,-0.00049543
-0.032504471,-0.032793489,-0.022123423
0.012781539,0.004436267,0.019480955
0.03516829,0.045056911,0.039696669
0.014713561,0.026765053,0.056706752
-0.045042783,-0.045103874,-0.071826981
-0.00866595,-0.011892602,-0.003267287
-0.063113864,-0.065128972,-0.104184827
-0.03537974,-0.018100293,-0.050803239
-0.005977453,-0.018601015,0.003349078
0.046450952,0.055527623,0.057007248
0.010617615,0.010853238,0.044525946
-0.089883554,-0.082054382,-0.095461592
-0.009908297,-0.025949086,0.014104318
0.012116759,-0.006725013,0.017886411
-0.095180765,-0.10682931,-0.123779875
-0.185636474,-0.217377167,-0.195186692
-0.077798357,-0.079248071,-0.113974823
0.007791147,0.027783602,0.026641737
-0.08954988,-0.102576467,-0.065923082
